,2B_0,2B_1,2B_2,2B_3,2B_4,2B_5,2B_6,2B_7,2B_8,2B_9,2B_10,2B_11,2B_12,2B_13,2B_14,2B_15,2B_16,2B_17,2B_18,2B_19,2B_20,2B_21,2B_22,2B_23,2B_24,2B_25,2B_26,2B_27,2B_28,2B_29,2B_30,2B_31,2B_32,2B_33,2B_34,2B_35,2B_36,2B_37,2B_38,2B_39,2B_40,2B_41,2B_42,2B_43,2B_44,2B_45,2B_46,2B_47,2B_48,2B_49,2B_50,2B_51,2B_52,2B_53,2B_54,2B_55,2B_56,2B_57,2B_58,2B_59,3B_0,3B_1,3B_2,3B_3,3B_4,3B_5,3B_6,3B_7,3B_8,3B_9,3B_10,3B_11,3B_12,3B_13,3B_14,3B_15,3B_16,3B_17,3B_18,3B_19,3B_20,3B_21,3B_22,3B_23,3B_24,3B_25,3B_26,3B_27,3B_28,3B_29,3B_30,3B_31,3B_32,3B_33,3B_34,3B_35,3B_36,3B_37,3B_38,3B_39,3B_40,3B_41,3B_42,3B_43,3B_44,3B_45,3B_46,3B_47,3B_48,3B_49,3B_50,3B_51,3B_52,3B_53,3B_54,3B_55,3B_56,3B_57,3B_58,3B_59,4B_0,4B_1,4B_2,4B_3,4B_4,4B_5,4B_6,4B_7,4B_8,4B_9,4B_10,4B_11,4B_12,4B_13,4B_14,4B_15,4B_16,4B_17,4B_18,4B_19,4B_20,4B_21,4B_22,4B_23,4B_24,4B_25,4B_26,4B_27,4B_28,4B_29,4B_30,4B_31,4B_32,4B_33,4B_34,4B_35,4B_36,4B_37,4B_38,4B_39,4B_40,4B_41,4B_42,4B_43,4B_44,4B_45,4B_46,4B_47,4B_48,4B_49,4B_50,4B_51,4B_52,4B_53,4B_54,4B_55,4B_56,4B_57,4B_58,4B_59
0,0.15194,0.0799742,0.0399871,0.134957,0.0,0.0399871,0.0,0.0599807,0.0,0.0649791,0.0,0.0149952,0.0299903,0.0,0.0,0.0,0.0599807,0.0,0.0549823,0.0,0.0299903,0.0,0.0299903,0.0,0.0,0.0,0.0599807,0.0,0.0399871,0.0,0.0299903,0.0,0.0,0.0,0.0,0.00999678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00999678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00499839,0.0,0.0,0.0,0.00999678,0.0,0.0322914,0.0175605,0.0492334,0.0272242,0.0252233,0.0776176,0.0251595,0.0631115,0.019572,0.044955,0.0328223,0.0543366,0.0469346,0.0336843,0.017816,0.0448911,0.0334449,0.0151021,0.0210301,0.0125159,0.0344825,0.0332054,0.0206895,0.0134099,0.00887606,0.00836521,0.0393143,0.0130267,0.0104086,0.00498081,0.00512981,0.0148466,0.00705615,0.0210727,0.00431032,0.0134737,0.0150701,0.00932305,0.00651337,0.00478924,0.00676879,0.000957848,0.00108556,0.000638565,0.00134099,0.000878027,0.0,0.000766278,0.000766278,0.0,0.000766278,0.000957848,0.000702422,0.00114942,0.00019157,0.0,0.000159641,0.0,0.0,0.0,0.0190087,0.0119948,0.00703532,0.0114119,0.0460466,0.0564999,0.0488753,0.0395788,0.0353172,0.0310326,0.0189279,0.0178503,0.0115947,0.0179309,0.00543499,0.114242,0.134878,0.0666617,0.0440909,0.0456337,0.0289542,0.037572,0.0289593,0.0225631,0.0169492,0.0144925,0.0130634,0.00929138,0.00813715,0.00769999,0.00860753,0.00435617,0.00419767,0.00256155,0.00258456,0.00146484,0.00150319,0.000483167,0.00107882,0.000306773,0.000260757,0.000460159,0.000153386,0.0,0.000207072,4.60159e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.151838,0.0895475,0.0306704,0.107863,0.0269385,0.0396284,0.000529611,0.0595266,0.00870904,0.0533997,0.00549142,0.0126573,0.0241289,0.00586143,0.0,1.52486e-05,0.0497464,0.0117724,0.0478778,0.00561323,0.0290951,0.00244443,0.028379,0.0,0.0,0.00327502,0.0567057,0.0226101,0.017377,0.0159363,0.014054,0.0,0.0,0.0,0.0,0.00765805,0.00233873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000445619,0.0095189,3.22648e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045484,0.000449994,0.0,0.00134337,0.00865341,0.0,0.0322916,0.0178488,0.0511207,0.0249043,0.0259185,0.0684724,0.0341609,0.0622645,0.0209092,0.0433943,0.0419318,0.0491211,0.039872,0.0393502,0.0171522,0.046387,0.0321608,0.0153191,0.0198094,0.0100604,0.0356005,0.0329148,0.0218017,0.0125495,0.00993052,0.00983114,0.0376163,0.0128574,0.0114566,0.00435804,0.00522786,0.0149831,0.00617524,0.0219451,0.00363195,0.0161033,0.0122548,0.0096482,0.00711121,0.0046308,0.00649107,0.00097454,0.000972672,0.000931526,0.00114488,0.000947641,1.04373e-05,0.000724715,0.000782647,9.813e-05,0.000683302,0.000957559,0.000666547,0.00111926,0.000223137,3.47512e-05,0.000159641,0.0,0.0,0.0,0.0189773,0.0120122,0.00785674,0.0169394,0.0399792,0.0620131,0.0486912,0.0344867,0.0390832,0.0258321,0.0210209,0.0173687,0.0109578,0.0178798,0.013928,0.133415,0.111907,0.0650845,0.0442155,0.0442893,0.0279559,0.0373957,0.0292194,0.0222424,0.0171832,0.0142732,0.012865,0.00986428,0.00740214,0.00782519,0.00833247,0.00433875,0.0044197,0.00229621,0.00235537,0.00152016,0.00159037,0.000488391,0.00103291,0.000335506,0.000237778,0.000482438,0.000152954,0.0,0.000177981,7.4393e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.152059,0.0917941,0.0279677,0.10463,0.0291031,0.0393048,0.00112829,0.0580542,0.00596592,0.0579729,0.00337093,0.0141729,0.0240361,0.00619806,0.0,0.000118255,0.0502778,0.0113585,0.0498973,0.00504207,0.0281555,0.00432179,0.0258121,0.000516782,0.0,0.00797667,0.051975,0.0213987,0.0196826,0.0126206,0.0163812,0.0,0.0,0.0,0.000230609,0.00673642,0.00308086,5.55274e-05,0.0,0.0,0.0,0.0,0.0,2.25574e-06,0.00165581,0.00789255,0.000552025,7.75975e-07,0.0,0.0,0.0,0.0,0.0,7.86081e-05,0.0043302,0.000642905,7.83194e-06,0.00335303,0.00654763,0.000194932,0.0323663,0.0174933,0.0513262,0.0240777,0.0265046,0.0688512,0.0330088,0.0626496,0.0205949,0.0436517,0.0406719,0.0498077,0.0392574,0.040004,0.018827,0.045015,0.0320124,0.0147643,0.0195586,0.0102106,0.0342718,0.0348482,0.0213387,0.013395,0.01006,0.011537,0.0360516,0.0130922,0.0117602,0.00440822,0.00515094,0.0145173,0.0066895,0.0208137,0.00482949,0.0157713,0.0129098,0.00939886,0.00738509,0.00426695,0.00613636,0.00125469,0.000983463,0.00098815,0.00109804,0.000910748,7.67111e-05,0.000675479,0.000751775,0.000216242,0.000597053,0.000895372,0.000681383,0.00106326,0.000320006,5.91193e-05,0.000141336,1.77702e-06,0.0,0.0,0.0190085,0.012023,0.00708971,0.017822,0.0398374,0.0623845,0.0483029,0.0345642,0.039207,0.0260241,0.0206666,0.0174803,0.0109687,0.0179983,0.0157256,0.133973,0.109599,0.0661603,0.0430795,0.0437406,0.0286863,0.0372085,0.0291229,0.0222657,0.0170384,0.0146259,0.0129258,0.00953207,0.00729833,0.007926,0.00828619,0.00440189,0.00441082,0.00224464,0.00224206,0.00152931,0.00159837,0.000533117,0.000974877,0.000360979,0.000219649,0.000511003,0.000149429,1.27245e-06,0.000169399,8.09905e-05,1.42564e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.113888,0.0938852,0.074372,0.0634811,0.0480749,0.0376747,0.033869,0.0316617,0.0259577,0.0213727,0.0190307,0.0161485,0.0144834,0.013528,0.0146758,0.0178707,0.0216441,0.0238091,0.0237251,0.0216611,0.0185162,0.0160357,0.0140184,0.013026,0.0144515,0.0176907,0.0203637,0.0201751,0.0181215,0.0145841,0.0102264,0.00613888,0.00394632,0.0026784,0.00215505,0.00185142,0.00164685,0.00136076,0.0010816,0.000819366,0.000718096,0.000774452,0.000957771,0.00121767,0.00143099,0.00153355,0.00143934,0.00118784,0.000894337,0.000678646,0.000575421,0.0006358,0.000804451,0.00106673,0.00142019,0.00186095,0.00230271,0.00274068,0.00322621,0.00387484,0.012928,0.0339993,0.0421306,0.0385928,0.0384608,0.042419,0.045111,0.0445823,0.0422772,0.0428926,0.0438779,0.0406494,0.038118,0.0355629,0.0338907,0.0320754,0.0262479,0.0211859,0.0198211,0.0215294,0.0246911,0.025825,0.0234826,0.0197851,0.0179134,0.0182788,0.0185789,0.0163289,0.0122739,0.00920939,0.00859903,0.00974302,0.0115014,0.0128135,0.0131349,0.0128858,0.0117103,0.00921656,0.00670196,0.00495052,0.00364846,0.00251199,0.00157606,0.00105485,0.000850997,0.000711307,0.000611325,0.000565455,0.000534937,0.000547979,0.000606451,0.000679993,0.000686603,0.000615702,0.000436449,0.000237746,0.000103458,3.45653e-05,7.94545e-06,1.49922e-06,0.00140123,0.0104762,0.0209825,0.0321783,0.0438411,0.0491308,0.0447562,0.0384,0.0333788,0.0280374,0.023866,0.0207091,0.0224626,0.0354814,0.0644443,0.0899343,0.0842096,0.0619536,0.0467724,0.0398524,0.0344776,0.0303617,0.0261919,0.0215942,0.0178174,0.0146323,0.011921,0.009817,0.00826841,0.00699543,0.005775,0.00461566,0.00360984,0.00281917,0.00223001,0.00173873,0.00133735,0.00101475,0.000746631,0.000543233,0.000401029,0.000291679,0.000199607,0.000132611,9.01245e-05,5.74616e-05,3.08892e-05,1.39443e-05,5.24532e-06,1.59907e-06,3.42895e-07,2.91488e-08,1.83499e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.118745,0.0941254,0.073008,0.0610388,0.0481677,0.0364935,0.0324008,0.0306551,0.0264133,0.0218665,0.0189856,0.0161308,0.0135108,0.0125396,0.0142756,0.0176902,0.0219973,0.0253128,0.0255732,0.022356,0.0185483,0.0151043,0.0126538,0.0125225,0.0144692,0.0179363,0.0211176,0.0221454,0.0198988,0.0151392,0.00989425,0.00580898,0.00291545,0.00174992,0.00161674,0.0017209,0.00164683,0.00138746,0.00103487,0.000718966,0.00057964,0.000647569,0.000916644,0.00129778,0.00161065,0.00172541,0.00157886,0.0012442,0.000839985,0.000509032,0.00038705,0.000440737,0.000694993,0.00101319,0.00138455,0.00177445,0.00232438,0.00288473,0.00335364,0.00377551,0.0154032,0.0341843,0.0414277,0.0364633,0.0361928,0.0423608,0.046217,0.0450641,0.0415388,0.0417862,0.0441547,0.0411442,0.0374367,0.0354001,0.0342786,0.032156,0.0268157,0.0203246,0.0185632,0.0214338,0.0257427,0.0270384,0.0240406,0.0195572,0.0175619,0.0188056,0.0196678,0.0169815,0.0119838,0.00850949,0.00821703,0.0096528,0.0114464,0.0131128,0.0129688,0.0129925,0.0120931,0.00939824,0.00668973,0.00502357,0.0036856,0.00252625,0.00159234,0.0010206,0.000843563,0.000734722,0.000631813,0.000558726,0.000536588,0.000559783,0.00060907,0.000685874,0.000702352,0.000638414,0.000454131,0.000256906,9.94914e-05,2.71801e-05,6.0906e-06,7.5619e-07,0.00235923,0.012518,0.0198349,0.0300893,0.0432343,0.0495347,0.0449759,0.0379869,0.0338466,0.0280681,0.0234084,0.0194279,0.0185158,0.0282498,0.0614283,0.0940339,0.0877712,0.063382,0.0468709,0.0415153,0.0355953,0.0308776,0.0267503,0.0219631,0.0181524,0.0149829,0.0121388,0.0100516,0.00855336,0.00725056,0.00598251,0.00476752,0.00371653,0.00290219,0.00229215,0.00180839,0.00139765,0.00106397,0.00079494,0.000581135,0.000426059,0.000311082,0.000217472,0.000144462,9.65669e-05,6.41906e-05,3.7799e-05,1.78299e-05,7.37263e-06,2.42058e-06,4.73428e-07,2.89171e-08,2.49142e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.144448,0.0908449,0.0413985,0.0834745,0.0434494,0.0316099,0.0162465,0.0422968,0.0301013,0.0294524,0.018226,0.0133401,0.0159937,0.0100768,0.00267341,0.00838859,0.0315241,0.0325078,0.0303602,0.0207864,0.0165254,0.0147247,0.0153996,0.00614675,0.00265688,0.0184384,0.0334551,0.0281984,0.0196735,0.0142978,0.0114723,0.0019588,4.39807e-05,0.000251815,0.00170985,0.0041072,0.00331382,0.000865833,0.00011156,1.35568e-05,1.52491e-06,1.3594e-05,8.84634e-05,0.000715741,0.00280284,0.00427027,0.0021642,0.00032542,2.92708e-05,7.43859e-07,2.6221e-06,1.87638e-05,0.000132928,0.000968876,0.00234961,0.00157533,0.000712821,0.00372326,0.00511747,0.00110569,0.0298832,0.0230204,0.0490155,0.0226681,0.0299824,0.0553926,0.0457958,0.053039,0.0295473,0.0381174,0.0489286,0.0443165,0.0380788,0.0377521,0.0274027,0.0399138,0.0286439,0.0156599,0.0173932,0.0134363,0.0321707,0.0348595,0.0222594,0.0153345,0.0107865,0.0169066,0.0292442,0.0165913,0.0104426,0.00517151,0.00549172,0.0125861,0.00902262,0.0176869,0.00818764,0.0148922,0.0134969,0.00901844,0.007216,0.00426984,0.00487937,0.00209247,0.000974617,0.000933762,0.00112414,0.000815303,0.000268178,0.000627601,0.000591369,0.000410836,0.000540573,0.000820401,0.000749118,0.000938297,0.000432851,8.85534e-05,8.02083e-05,9.70115e-06,1.23556e-08,0.0,0.0150528,0.0133138,0.00981217,0.0240651,0.038277,0.0567634,0.0487369,0.0359506,0.0373144,0.026054,0.0228112,0.016617,0.0130117,0.0163034,0.0299618,0.133099,0.1019,0.0639374,0.0399771,0.0426252,0.0322394,0.0349417,0.0288544,0.0211543,0.0182825,0.0153259,0.0119224,0.00916969,0.00779113,0.00794589,0.0073356,0.00469012,0.00384853,0.00241403,0.00222214,0.00159903,0.0014423,0.000822051,0.000804133,0.000421582,0.000315057,0.000450354,0.000161565,4.30663e-05,0.000128219,8.01561e-05,9.82227e-06,6.63611e-07,1.68975e-07,4.51469e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.14804,0.0940113,0.0315895,0.0933621,0.0364517,0.035412,0.00913663,0.0488574,0.0236699,0.038801,0.0130571,0.0123889,0.0182426,0.0102519,0.0004244,0.00401587,0.0377809,0.0286291,0.0366851,0.0154433,0.019636,0.0124083,0.0179784,0.00392926,0.000575502,0.0179456,0.037502,0.027108,0.0190099,0.0145203,0.0124463,0.00117353,2.45201e-06,0.000112405,0.00141353,0.00465363,0.00349685,0.000619546,2.33217e-05,1.29053e-07,0.0,9.21806e-08,1.08589e-05,0.000315553,0.00294985,0.00507159,0.00184131,0.000131394,1.21678e-06,0.0,0.0,3.68723e-08,2.95716e-05,0.00079303,0.00283778,0.00139235,0.000398331,0.00408152,0.00504009,0.000894097,0.0318792,0.0195692,0.050611,0.0222054,0.0273531,0.0619174,0.0404647,0.0579426,0.0254427,0.0397084,0.0472148,0.0459218,0.0384394,0.037989,0.0251488,0.0416153,0.0295574,0.0149603,0.0184336,0.0119291,0.0327001,0.0354614,0.0218497,0.0148582,0.0103328,0.015494,0.0313466,0.0155256,0.0109954,0.00475043,0.0050151,0.0133854,0.00835229,0.0183711,0.00745695,0.0151989,0.013392,0.00909522,0.00737792,0.00412538,0.00522953,0.00192641,0.000997105,0.00096081,0.00113957,0.000824042,0.000220631,0.000636704,0.000622392,0.000379627,0.000529434,0.000829286,0.00073197,0.000967864,0.000425424,8.68921e-05,9.46545e-05,9.95789e-06,0.0,0.0,0.0183532,0.0124443,0.00820226,0.0213182,0.0368337,0.0600217,0.0495667,0.0350366,0.0392743,0.0251029,0.0219715,0.0163333,0.0115846,0.017142,0.023911,0.135594,0.105218,0.0655566,0.0400064,0.0423815,0.0310882,0.0355128,0.0288145,0.0215494,0.0178946,0.0154194,0.0123354,0.00892642,0.00742725,0.00811408,0.00791669,0.004598,0.00404067,0.00219647,0.00212697,0.00154141,0.00154759,0.000707605,0.000843075,0.000390304,0.00027864,0.00049008,0.000133927,1.53357e-05,0.000143286,8.75667e-05,7.67474e-06,1.21989e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.120837,0.0923757,0.068377,0.0652827,0.0495059,0.0359219,0.03169,0.0318039,0.0258694,0.0211435,0.0188618,0.0166398,0.0138047,0.0120171,0.0137215,0.0185175,0.0228544,0.0246951,0.0244462,0.0225691,0.0183442,0.0151664,0.0129035,0.0124133,0.0145833,0.0184431,0.0221077,0.0220375,0.0196927,0.0146095,0.00969928,0.00538475,0.00289905,0.00184569,0.00178764,0.00182433,0.00174398,0.00138878,0.000935434,0.000585979,0.000478754,0.000620351,0.000963271,0.00136838,0.00171944,0.00181571,0.00161281,0.0012065,0.000717166,0.000394932,0.000309915,0.000428611,0.000671901,0.000991591,0.00135213,0.00179773,0.00241093,0.00286651,0.00320962,0.00375284,0.0162092,0.0333035,0.0427191,0.0357768,0.036369,0.0419303,0.0466827,0.0450746,0.0409559,0.0425853,0.0436241,0.040879,0.0381608,0.0354342,0.0342787,0.0323331,0.0262011,0.0196559,0.0181783,0.021642,0.0267268,0.0280437,0.0240746,0.0187247,0.0170389,0.0189164,0.0201684,0.0171706,0.0114222,0.00806636,0.00802495,0.0096107,0.0117339,0.0132341,0.0131756,0.0130913,0.0123376,0.00900495,0.0067513,0.00493359,0.00374782,0.00236428,0.00134023,0.00100423,0.000890645,0.000715512,0.00057219,0.000539607,0.000519593,0.000531417,0.000633011,0.000747657,0.000786066,0.000675275,0.000424463,0.000176389,6.42823e-05,1.84831e-05,3.73477e-06,7.36198e-07,0.00247674,0.0132109,0.0207372,0.0307299,0.0434052,0.0499963,0.044608,0.0377536,0.0335849,0.0277486,0.023134,0.0185818,0.0175696,0.0277057,0.0653648,0.0993605,0.0879444,0.0605195,0.0454757,0.0400649,0.0349194,0.0314679,0.0266752,0.0213897,0.0179068,0.0146342,0.0117887,0.0097306,0.00831744,0.0072088,0.00599756,0.00471536,0.00363346,0.00281311,0.0022222,0.00170456,0.00132735,0.00102898,0.000756315,0.000540023,0.000414909,0.000317943,0.00019505,0.000120917,9.3829e-05,6.07733e-05,2.79385e-05,1.29485e-05,4.61777e-06,1.02236e-06,1.62871e-07,2.7297e-08,1.21474e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.127358,0.0944687,0.0648269,0.0621248,0.0465681,0.0332126,0.0302302,0.0331227,0.0290333,0.0229592,0.0193556,0.0163378,0.0124539,0.0103295,0.0113981,0.0168821,0.0241847,0.0291468,0.0277267,0.023181,0.0174108,0.0139792,0.0111192,0.0107959,0.0134141,0.0189746,0.0233,0.0242298,0.0200451,0.0146769,0.00907417,0.00469917,0.00237788,0.00159382,0.00163124,0.00183089,0.00181551,0.00150135,0.00104528,0.000646372,0.000459898,0.000519684,0.000829259,0.0012929,0.00176107,0.00195957,0.00179698,0.0013069,0.000765651,0.000388549,0.000274652,0.000363745,0.000634712,0.00104391,0.00155897,0.00193147,0.00233829,0.00283218,0.00341496,0.00368839,0.0193804,0.0319218,0.0422203,0.0308785,0.0358233,0.0442316,0.047972,0.0457633,0.0386471,0.0402427,0.0462987,0.0421348,0.0373834,0.034407,0.0337612,0.0333661,0.0268931,0.0195861,0.0185015,0.0209304,0.0259068,0.028382,0.0248206,0.0189617,0.0164002,0.0183656,0.0207543,0.0180947,0.0120026,0.007983,0.00772453,0.0100359,0.0117439,0.012928,0.0127278,0.0128257,0.0124031,0.00955039,0.00684482,0.00503573,0.00378943,0.00255712,0.00145473,0.000982662,0.000877885,0.000740075,0.000596639,0.000549705,0.000534664,0.000552193,0.000611565,0.000712123,0.000744171,0.0006734,0.000465595,0.000220425,7.68298e-05,2.11223e-05,4.43521e-06,5.85496e-07,0.00386254,0.0140721,0.017567,0.0282073,0.0425733,0.0515954,0.0462953,0.0378699,0.0351941,0.0272121,0.0228768,0.0183448,0.0183275,0.0280432,0.0598983,0.0972171,0.0908977,0.0628481,0.0447689,0.0404644,0.0353836,0.031338,0.027081,0.0217011,0.0178902,0.0148257,0.0118695,0.00967799,0.00831548,0.00736253,0.00626044,0.00491117,0.0036992,0.00278927,0.00219035,0.00172092,0.0013397,0.00100692,0.000731874,0.000523601,0.000400636,0.000317115,0.000204565,0.000122186,9.28356e-05,6.57844e-05,2.98028e-05,9.46303e-06,2.56904e-06,6.18167e-07,8.60739e-08,4.55801e-09,3.91245e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.147934,0.0959687,0.0293484,0.094937,0.0355098,0.036119,0.00755023,0.0501494,0.0230891,0.0392844,0.0130066,0.0118197,0.0191367,0.00982067,0.000352221,0.00296989,0.0398627,0.0267801,0.0375634,0.014669,0.0204998,0.0118608,0.0183401,0.00382162,0.000618531,0.0169454,0.0387195,0.026218,0.0196664,0.0139179,0.0130496,0.00108268,4.70338e-06,0.000130721,0.00162491,0.00447275,0.00319367,0.000749307,9.48392e-05,1.71967e-05,1.19422e-06,0.0,8.21254e-06,0.000399236,0.00308503,0.00469484,0.00182528,0.000230337,3.73514e-05,6.00783e-06,0.0,1.83726e-08,3.74617e-05,0.000949384,0.00263632,0.00131656,0.000594298,0.00419086,0.00447108,0.00109664,0.0317536,0.0193469,0.0509711,0.0222284,0.027379,0.0622512,0.0398686,0.0584474,0.0252048,0.04,0.0464602,0.0465838,0.038239,0.0383235,0.024701,0.0419716,0.0297264,0.014935,0.0185787,0.0121609,0.0326228,0.0346831,0.0220479,0.0149224,0.0103381,0.0159744,0.0302116,0.0158796,0.0109461,0.00483076,0.00522166,0.012996,0.00872396,0.0177455,0.00791786,0.0151788,0.0132026,0.0092855,0.00728308,0.00421422,0.00511299,0.00204511,0.00103089,0.000960807,0.00116138,0.000770456,0.000274168,0.000618633,0.000597602,0.000415517,0.000500448,0.000822857,0.000738505,0.000954934,0.000431035,0.000100032,9.29434e-05,1.42168e-05,4.4743e-07,0.0,0.0182527,0.0124881,0.00819254,0.0207347,0.0370878,0.0598551,0.0500173,0.0349872,0.0393216,0.0251435,0.0220118,0.0163401,0.0115017,0.0170369,0.0249554,0.133755,0.105594,0.0658195,0.0402906,0.0419268,0.0315393,0.0352816,0.0287834,0.0216991,0.0179987,0.0155732,0.0122396,0.00888061,0.00741241,0.00818861,0.0078645,0.00471192,0.00397917,0.00222537,0.00210018,0.00154864,0.00152818,0.000745525,0.000822666,0.000394165,0.000303772,0.000471661,0.000136379,1.88193e-05,0.000142173,8.70931e-05,1.01941e-05,1.51996e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
